index	code	transcribed_group	plaintext
4755	"173574^"""	^_ 1^_ 7^_ 3 ^_ 5^'' 7 4	
4756	26	2 6	de
4757	"73^"""	7^'' 3	armee
4758	34^_	3^_ 4^_	
4759	114^^	1^^ 1 4	het
4760	718	7 1 8	
4761	34^_	3^_ 4^_	
4762	550	5 5 0	ge
4763	567^o	5^o 6 7	victorie
4764	4^CircleWithHorizontalBar	4^+	t
4765	143^_	1^_ 4^_ 3^_	heeft
4766	120	1 2 0	
4767	525^o	5^o 2 5	veel
4768	227^o	2^o 2 7	ver
4769	311	3 1 1	l
4770	306	3 0 6	oo
4771	620^^	6^^ 2 0	ren
4772	143^_	1^_ 4^_ 3	heeft
4773	380	3 8 0	van
4774	152^_	1^_ 5^_ 2^_	het geene?
4775	311	3 1 1	l
4776	199	1 9 9	es
4777	450	4 5 0	p
4778	34^^	3^^ 4	r
4779	365^_	3^_ 6^_ 5	it
4780	26	2 6	de
4781	"463^"""	4^'' 6 3	
4782	22^CircleWithHorizontalBar	2^+ 2^_	wat
4783	26	2 6	de
4784	341^_	3^_ 4^_ 1^_	
4785	6	6	ne
4786	"311^"""	3^'' 1 1	be
4787	434^o	4^o 3 4	tre
4788	377	3 7 7	f
4789	4^CircleWithHorizontalBar	4^+	t
4790	132^CircleWithHorizontalBar	1 3^+ 2^_	zo
4791	143^_	1^_ 4^_ 3^_	heeft
4792	39^^	3^^ 9	men
4793	152^_	1^_ 5^_ 2^_	het geene?
4794	34^_	3 4^_	
4795	26	2 6	de
4796	138^_	1^_ 3^_ 8^_	haven
4797	883^_	^_ 8^_ 8^_ 3^_	van de
4798	306	3 0 6	oo
4799	150^o	1^o 5 0	st
4800	44^CircleWithHorizontalBar	4^+ 4	zee
4801	26^CircleWithHorizontalBar	2^+ 6	wel
4802	4	4	een
4803	734	7 3 4	goed
4804	"104^"""	1^'' 0 4	aan
4805	4^CircleWithHorizontalBar	4^+	t
4806	"128^"""	1^'' 2 8	al'
4807	380	3 8 0	van
4808	970^^	9^^ 7 0	
4809	158^_	^_ 1 5 8	
4810	835	8 3 5	fregat
4811	380^_	^_ 3 8 0	krÿgen?
4812	364^^	3^^ 6 4	oorlog
4813	331^_	3^_ 3^_ 1	maar
4814	26	2 6	de
4815	280^_	2 8^_ 0^_	h
4816	327	3 2 7	ei
4817	377	3 7 7	f
4818	4^CircleWithHorizontalBar	4^+	t
4819	16	1 6	daar
4820	380	3 8 0	van
4821	90	9 0	zÿn
4822	21^^	2^^ 1	
4823	781	7 8 1	geheel
4824	28^^	2^^ 8	on
4825	"420^"""	4^'' 2 0	
4826	748	7 4 8	ÿ
4827	47^_	4^_ 7^_	l
4828	"83^"""	8^'' 3	
4829	21^^	2^^ 1	
4830	305^_	3 0^_ 5	kunnen?
4831	380	3 8 0	van
4832	704	7 0 4	geen
4833	"369^"""	3^'' 6 9	anderen
4834	"968^"""	9^'' 6 8	dien
4835	150^o	1 5^o 0	st
4836	90	9 0	zÿn
4837	"59^"""	5^'' 9	als
4838	731^o	7 3^o 1	voor
4839	26	2 6	de
4840	306	3 0 6	oo
4841	150^o	1 5^o 0	st
4842	44^CircleWithHorizontalBar	4^+ 4	zee
4843	29^_	2^_ 9^_	ik
4844	911	9 1 1	heb
4845	26	2 6	de
4846	389	3 8 9	eere
4847	851	8 5 1	
4848	34^_	3^_ 4^_	
4849	34	3 4	den
4850	731^o	7 3^o 1	voor
4851	617^_	6^_ 1^_ 7^_	lee
4852	26	2 6	de
4853	6	6	ne
